list-none-none,1,10,1,30,67731,2257
list-none-none,1,100,1,300,122500,408
list-none-none,1,1000,1,3000,2469551,823
list-none-none,1,10000,1,30000,482679010,16089
list-none-none,1,20000,1,60000,2638577698,43976
list-none-none,2,1,1,6,121912,20318
list-i-none,2,1,1,6,208270,34711
list-d-none,2,1,1,6,131822,21970
list-il-none,2,1,1,6,92016,15336
list-dl-none,2,1,1,6,133964,22327
list-none-none,2,2,1,12,83057,6921
list-d-none,2,2,1,12,112299,9358
list-il-none,2,2,1,12,95160,7930
list-dl-none,2,2,1,12,102116,8509
list-none-none,2,4,1,24,89531,3730
list-i-none,2,4,1,24,98402,4100
list-d-none,2,4,1,24,134586,5607
list-il-none,2,4,1,24,128059,5335
list-dl-none,2,4,1,24,142212,5925
list-none-none,2,8,1,48,90434,1884
list-i-none,2,8,1,48,94002,1958
list-il-none,2,8,1,48,105584,2199
list-none-none,2,16,1,96,93728,976
list-i-none,2,16,1,96,115611,1204
list-d-none,2,16,1,96,126004,1312
list-il-none,2,16,1,96,193315,2013
list-dl-none,2,16,1,96,144364,1503
list-none-none,2,32,1,192,101782,530
list-i-none,2,32,1,192,149659,779
list-il-none,2,32,1,192,198752,1035
list-dl-none,2,32,1,192,207991,1083
list-none-none,4,1,1,12,132767,11063
list-i-none,4,1,1,12,155926,12993
list-d-none,4,1,1,12,166082,13840
list-il-none,4,1,1,12,200414,16701
list-dl-none,4,1,1,12,153905,12825
list-none-none,4,2,1,24,282070,11752
list-i-none,4,2,1,24,169385,7057
list-d-none,4,2,1,24,133066,5544
list-dl-none,4,2,1,24,126462,5269
list-none-none,4,4,1,48,113856,2372
list-i-none,4,4,1,48,113516,2364
list-d-none,4,4,1,48,147630,3075
list-dl-none,4,4,1,48,147026,3063
list-none-none,4,8,1,96,133745,1393
list-i-none,4,8,1,96,158999,1656
list-d-none,4,8,1,96,131042,1365
list-il-none,4,8,1,96,142889,1488
list-none-none,4,16,1,192,139426,726
list-i-none,4,16,1,192,198652,1034
list-none-none,4,32,1,384,157253,409
list-none-none,8,1,1,24,337609,14067
list-i-none,8,1,1,24,358378,14932
list-d-none,8,1,1,24,297373,12390
list-il-none,8,1,1,24,662652,27610
list-none-none,8,2,1,48,287790,5995
list-i-none,8,2,1,48,592083,12335
list-d-none,8,2,1,48,315703,6577
list-il-none,8,2,1,48,306957,6394
list-dl-none,8,2,1,48,305555,6365
list-none-none,8,4,1,96,343120,3574
list-i-none,8,4,1,96,327306,3409
list-d-none,8,4,1,96,336821,3508
list-il-none,8,4,1,96,385178,4012
list-dl-none,8,4,1,96,508983,5301
list-none-none,8,8,1,192,387256,2016
list-i-none,8,8,1,192,644167,3355
list-d-none,8,8,1,192,332016,1729
list-none-none,8,16,1,384,315008,820
list-none-none,8,32,1,768,556508,724
list-none-none,12,1,1,36,436523,12125
list-i-none,12,1,1,36,506361,14065
list-d-none,12,1,1,36,555868,15440
list-il-none,12,1,1,36,495049,13751
list-dl-none,12,1,1,36,721784,20049
list-none-none,12,2,1,72,502166,6974
list-i-none,12,2,1,72,679591,9438
list-d-none,12,2,1,72,533063,7403
list-il-none,12,2,1,72,504464,7006
list-dl-none,12,2,1,72,678715,9426
list-none-none,12,4,1,144,559903,3888
list-i-none,12,4,1,144,621104,4313
list-d-none,12,4,1,144,662043,4597
list-il-none,12,4,1,144,490323,3405
list-dl-none,12,4,1,144,589344,4092
list-none-none,12,8,1,288,492355,1709
list-i-none,12,8,1,288,489159,1698
list-il-none,12,8,1,288,516813,1794
list-none-none,12,16,1,576,459285,797
list-none-none,12,32,1,1152,808986,702
list-i-m,12,32,1,1152,672901,584
list-i-s,12,32,1,1152,705517,612
list-d-m,12,32,1,1152,763100,662
list-d-s,12,32,1,1152,582195,505
list-il-m,12,32,1,1152,991485,860
list-il-s,12,32,1,1152,1060008,920
list-dl-m,12,32,1,1152,971401,843
list-dl-s,12,32,1,1152,1203407,1044
list-none-m,1,1000,1,3000,2476935,825
list-none-s,1,1000,1,3000,2433958,811
list-none-m,2,1000,1,6000,6962281,1160
list-none-s,2,1000,1,6000,5690792,948
list-none-m,4,1000,1,12000,10946762,912
list-none-s,4,1000,1,12000,30985506,2582
list-none-m,8,1000,1,24000,49816964,2075
list-none-s,8,1000,1,24000,56681359,2361
list-none-m,12,1000,1,36000,65420017,1817
list-none-s,12,1000,1,36000,172411508,4789
list-none-m,16,1000,1,48000,105531579,2198
list-none-s,16,1000,1,48000,265363104,5528
list-none-m,24,1000,1,72000,122814895,1705
list-none-s,24,1000,1,72000,766445327,10645
