add-yield-m,12,1000,24000,-745079785,-31044,0
add-yield-s,12,1000,24000,63366657,2640,0
add-yield-c,12,1000,24000,28647220,1193,0
add-yield-none,12,10000,240000,48074075,200,-4524
add-yield-m,12,10000,240000,176069945,733,0
add-yield-s,12,10000,240000,-514200062,-2142,0
add-yield-c,12,10000,240000,262147151,1092,0
add-yield-none,16,10,320,626534,1957,10
add-yield-m,16,10,320,899200,2810,0
add-yield-s,16,10,320,627170,1959,0
add-yield-c,16,10,320,578060,1806,0
add-yield-none,16,100,3200,941660,294,216
add-yield-m,16,100,3200,6748764,2108,0
add-yield-s,16,100,3200,9036843,2824,0
add-yield-c,16,100,3200,4038242,1261,0
add-yield-none,16,1000,32000,4265979,133,-487
add-yield-m,16,1000,32000,65898206,2059,0
add-yield-s,16,1000,32000,97903608,3059,0
add-yield-c,16,1000,32000,36957927,1154,0
add-yield-none,16,10000,320000,35645082,111,-4780
add-yield-m,16,10000,320000,-360672888,-1127,0
add-yield-s,16,10000,320000,749722309,2342,0
add-yield-c,16,10000,320000,-665144183,-2078,0
add-none,1,10000,20000,259211,12,0
add-m,1,10000,20000,855833,42,0
add-s,1,10000,20000,452222,22,0
add-c,1,10000,20000,523604,26,0
add-none,2,10000,40000,553054,13,-5638
add-m,2,10000,40000,3828377,95,0
add-s,2,10000,40000,5508916,137,0
add-c,2,10000,40000,1778491,44,0
add-none,4,10000,80000,1233099,15,-5333
add-m,4,10000,80000,14434202,180,0
add-s,4,10000,80000,39131339,489,0
add-c,4,10000,80000,8924576,111,0
add-none,8,10000,160000,2641240,16,-5470
add-m,8,10000,160000,34668540,216,0
add-s,8,10000,160000,114120394,713,0
add-c,8,10000,160000,20684137,129,0
add-none,12,10000,240000,4143489,17,-16186
add-m,12,10000,240000,53575502,223,0
add-s,12,10000,240000,233577587,973,0
add-c,12,10000,240000,37849047,157,0
add-none,16,10000,320000,5839324,18,-11177
add-m,16,10000,320000,-930462715,-2907,0
add-s,16,10000,320000,268299765,838,0
add-c,16,10000,320000,51730995,161,0
